               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.052899,            0.062716,            0.004558,            0.091253,             0.72638,             0.69146,             0.69333,             0.40841,            0.042126,            0.052229,           0.0045982,             0.10664,           0.0098042,           0.0098042,           0.0098042
                  32,            0.053431,            0.065789,           0.0046419,            0.091016,             0.72185,              0.6781,             0.71191,             0.42757,            0.041731,            0.051767,           0.0044521,             0.10589,           0.0097911,           0.0097911,           0.0097911
                  33,            0.053462,            0.064894,           0.0046342,            0.091671,             0.70689,             0.68001,             0.69585,             0.40474,            0.041904,            0.052101,            0.004501,             0.10487,           0.0097775,           0.0097775,           0.0097775
                  34,            0.053255,            0.066393,           0.0044695,            0.090349,             0.76976,             0.66238,             0.69697,             0.41027,            0.041439,            0.051728,           0.0043168,             0.10585,           0.0097635,           0.0097635,           0.0097635
                  35,            0.052907,            0.063878,           0.0042426,             0.09049,             0.73026,             0.64887,             0.69826,             0.40992,            0.041532,            0.051851,           0.0042554,             0.10499,           0.0097491,           0.0097491,           0.0097491
                  36,            0.052603,            0.064048,           0.0041968,             0.09055,             0.78691,              0.6839,             0.71809,             0.42492,            0.041312,            0.051501,            0.004234,             0.10562,           0.0097343,           0.0097343,           0.0097343
                  37,            0.052862,            0.064296,           0.0044026,            0.089652,             0.72637,              0.6843,             0.71964,             0.42505,            0.041289,            0.051477,           0.0041832,             0.10626,           0.0097191,           0.0097191,           0.0097191
                  38,            0.052317,            0.063019,           0.0041665,            0.090645,             0.75016,             0.69754,             0.72347,             0.42938,            0.041243,            0.051453,           0.0041149,             0.10516,           0.0097035,           0.0097035,           0.0097035
                  39,            0.052223,            0.063472,           0.0041451,            0.090328,             0.70495,             0.70264,             0.71136,             0.42934,            0.040678,            0.051445,           0.0041627,             0.10517,           0.0096875,           0.0096875,           0.0096875
                  40,             0.05237,              0.0625,           0.0043298,            0.090618,             0.72824,             0.69759,             0.71753,             0.43502,            0.040629,            0.051176,           0.0042358,             0.10527,            0.009671,            0.009671,            0.009671
                  41,            0.052242,            0.063157,           0.0042121,            0.089986,             0.74441,             0.68698,             0.71425,              0.4344,             0.04056,            0.051085,           0.0041801,              0.1051,           0.0096542,           0.0096542,           0.0096542
                  42,             0.05198,            0.063383,           0.0041657,            0.089898,              0.7636,             0.67907,             0.73194,             0.44673,            0.040698,            0.051053,           0.0041243,             0.10316,           0.0096369,           0.0096369,           0.0096369
                  43,            0.052378,            0.063378,           0.0043499,            0.089695,              0.7469,             0.71197,             0.73688,             0.45208,            0.040787,            0.051237,           0.0040963,              0.1036,           0.0096193,           0.0096193,           0.0096193
                  44,            0.052001,            0.061638,           0.0041469,            0.089192,             0.78648,             0.69785,             0.73553,              0.4509,            0.040294,            0.051103,           0.0040855,             0.10373,           0.0096013,           0.0096013,           0.0096013
                  45,            0.052214,            0.062109,           0.0040502,            0.089181,             0.77297,             0.69833,             0.73458,              0.4433,            0.040385,            0.050899,           0.0041945,             0.10372,           0.0095828,           0.0095828,           0.0095828
                  46,            0.051727,            0.063394,           0.0040044,            0.088706,              0.7906,             0.67949,             0.72813,             0.44772,            0.040372,            0.050947,           0.0040447,             0.10349,            0.009564,            0.009564,            0.009564
                  47,             0.05168,            0.062301,           0.0041124,            0.088706,             0.79343,             0.69077,             0.73286,             0.45097,            0.040388,            0.051153,           0.0039584,             0.10334,           0.0095448,           0.0095448,           0.0095448
                  48,            0.051601,            0.063089,           0.0038123,            0.089053,             0.75008,             0.70076,             0.72646,             0.44399,            0.040387,            0.051176,           0.0039824,              0.1032,           0.0095252,           0.0095252,           0.0095252
                  49,            0.051854,            0.062188,           0.0040119,            0.089328,             0.74692,             0.68829,             0.72776,             0.44576,             0.04031,            0.051119,           0.0039093,             0.10309,           0.0095052,           0.0095052,           0.0095052
                  50,            0.051444,            0.062769,           0.0039183,            0.088679,             0.73256,             0.70366,             0.72523,             0.44766,            0.040223,             0.05094,           0.0039355,             0.10329,           0.0094849,           0.0094849,           0.0094849
                  51,            0.051291,            0.062142,           0.0037792,            0.088239,              0.7435,             0.70443,             0.73094,             0.44785,            0.040108,            0.050821,            0.003896,             0.10305,           0.0094641,           0.0094641,           0.0094641
                  52,            0.051785,            0.063687,           0.0038916,            0.087785,             0.76714,             0.69743,             0.72943,             0.44802,            0.040082,            0.050741,           0.0038599,              0.1031,            0.009443,            0.009443,            0.009443
                  53,            0.051022,            0.061138,            0.003868,            0.088524,             0.70889,             0.73828,             0.73106,             0.44726,             0.04012,            0.050679,           0.0038819,             0.10325,           0.0094215,           0.0094215,           0.0094215
                  54,            0.051154,            0.062413,            0.003827,            0.088272,             0.72948,              0.6962,             0.72824,             0.44682,            0.040086,            0.050533,           0.0038539,             0.10332,           0.0093996,           0.0093996,           0.0093996
                  55,            0.051155,            0.062069,           0.0038088,            0.089233,             0.71302,             0.71788,             0.72958,             0.44886,            0.040037,            0.050604,           0.0037653,             0.10327,           0.0093773,           0.0093773,           0.0093773
                  56,            0.050758,            0.061696,           0.0037967,            0.088013,             0.72912,             0.69059,             0.72777,             0.44785,            0.039893,             0.05059,           0.0038148,             0.10298,           0.0093547,           0.0093547,           0.0093547
                  57,            0.051013,            0.063905,           0.0038025,            0.088899,             0.73209,             0.70038,             0.73469,             0.45757,            0.039887,            0.050606,           0.0038635,             0.10256,           0.0093317,           0.0093317,           0.0093317
                  58,            0.051093,             0.06326,           0.0037247,            0.087382,              0.7493,             0.68039,             0.74138,             0.46443,            0.039826,            0.050634,            0.003856,             0.10255,           0.0093083,           0.0093083,           0.0093083
                  59,            0.050727,            0.062113,           0.0037245,            0.087631,             0.73621,             0.72759,             0.74038,             0.46484,            0.039765,            0.050653,           0.0038347,             0.10265,           0.0092846,           0.0092846,           0.0092846
                  60,            0.050738,            0.063171,            0.003609,            0.087698,             0.72329,             0.73241,             0.74014,             0.46362,            0.039669,            0.050627,             0.00377,             0.10261,           0.0092605,           0.0092605,           0.0092605
                  61,            0.050449,            0.060043,           0.0035824,            0.088548,             0.72573,             0.73178,             0.74013,             0.46395,            0.039604,            0.050637,           0.0037199,             0.10248,           0.0092361,           0.0092361,           0.0092361
                  62,            0.050924,            0.063406,           0.0039937,            0.087882,             0.71371,             0.73616,             0.73675,             0.46223,            0.039586,            0.050682,           0.0037041,             0.10239,           0.0092113,           0.0092113,           0.0092113
                  63,            0.050371,            0.061222,           0.0036582,            0.087276,              0.7252,             0.72937,             0.74242,             0.46764,            0.039563,            0.050711,           0.0037297,             0.10224,           0.0091861,           0.0091861,           0.0091861
                  64,            0.050411,            0.061419,           0.0037988,             0.08768,              0.7108,             0.73527,             0.74192,             0.46595,            0.039602,            0.050675,           0.0037236,             0.10229,           0.0091606,           0.0091606,           0.0091606
                  65,            0.050937,            0.062599,           0.0038527,            0.087179,             0.69627,             0.74483,             0.73688,             0.46446,            0.039529,            0.050627,           0.0037085,             0.10234,           0.0091348,           0.0091348,           0.0091348
                  66,            0.051134,            0.062896,           0.0037741,            0.087694,             0.71666,             0.73063,             0.73723,             0.46256,            0.039513,             0.05064,           0.0036655,             0.10231,           0.0091086,           0.0091086,           0.0091086
                  67,            0.050538,            0.062323,           0.0036801,            0.087666,             0.73644,             0.72245,             0.73781,             0.46345,            0.039475,             0.05065,           0.0036413,             0.10229,           0.0090821,           0.0090821,           0.0090821
                  68,            0.050412,             0.06164,           0.0040247,            0.088681,             0.74867,             0.71625,             0.74053,             0.46565,            0.039465,            0.050605,           0.0036114,             0.10222,           0.0090552,           0.0090552,           0.0090552
                  69,            0.050268,            0.061711,           0.0036493,             0.08732,             0.73903,             0.72571,             0.73995,             0.46678,            0.039469,            0.050604,           0.0035934,              0.1022,            0.009028,            0.009028,            0.009028
                  70,            0.049827,            0.060486,           0.0035509,            0.087939,             0.73308,             0.72786,             0.73931,             0.46522,            0.039491,            0.050577,           0.0035774,             0.10221,           0.0090004,           0.0090004,           0.0090004
                  71,            0.050005,              0.0623,           0.0038671,            0.087918,             0.72068,             0.73286,             0.73815,             0.46619,            0.039459,            0.050556,           0.0035569,             0.10216,           0.0089726,           0.0089726,           0.0089726
                  72,            0.050038,            0.061343,            0.003415,            0.086741,             0.71667,             0.73694,             0.73872,             0.46728,             0.03943,            0.050554,           0.0035458,             0.10199,           0.0089444,           0.0089444,           0.0089444
                  73,            0.050009,            0.063492,           0.0036034,            0.087507,             0.75768,             0.70711,             0.73774,             0.46838,             0.03941,            0.050551,           0.0035397,             0.10193,           0.0089159,           0.0089159,           0.0089159
                  74,            0.049669,            0.062001,           0.0034565,            0.086954,             0.75235,             0.71237,             0.73848,             0.46872,             0.03938,            0.050531,           0.0035289,             0.10191,            0.008887,            0.008887,            0.008887
                  75,            0.049586,            0.059999,           0.0035539,            0.087453,             0.75174,             0.71261,             0.73955,             0.46939,            0.039347,            0.050519,           0.0035265,             0.10195,           0.0088579,           0.0088579,           0.0088579
                  76,            0.049836,            0.062975,           0.0035709,            0.087692,             0.74807,             0.71704,             0.73865,             0.46825,             0.03934,            0.050502,           0.0035165,             0.10199,           0.0088284,           0.0088284,           0.0088284
                  77,            0.049424,             0.06111,           0.0033856,            0.086887,              0.7588,             0.70573,             0.73861,             0.46818,            0.039313,            0.050483,           0.0035048,             0.10196,           0.0087987,           0.0087987,           0.0087987
                  78,            0.049332,            0.061471,           0.0036453,            0.086075,             0.75686,             0.70847,             0.73948,             0.46947,            0.039301,            0.050484,           0.0034904,             0.10191,           0.0087686,           0.0087686,           0.0087686
                  79,             0.05041,            0.063738,           0.0035571,            0.086735,             0.75388,             0.71035,              0.7396,             0.46967,            0.039295,            0.050492,           0.0034873,              0.1019,           0.0087382,           0.0087382,           0.0087382
                  80,            0.049881,            0.062297,           0.0034808,            0.086601,             0.74624,             0.71471,             0.73851,             0.46855,            0.039294,            0.050495,           0.0034828,             0.10191,           0.0087075,           0.0087075,           0.0087075
                  81,            0.049648,             0.06117,           0.0034369,            0.086556,             0.74531,             0.71759,             0.74002,             0.46952,             0.03929,            0.050491,           0.0034765,             0.10187,           0.0086765,           0.0086765,           0.0086765
                  82,             0.04967,            0.061827,            0.003458,            0.086339,             0.73312,             0.72128,             0.74147,             0.46991,            0.039297,            0.050502,           0.0034728,             0.10186,           0.0086452,           0.0086452,           0.0086452
                  83,            0.049468,            0.061633,           0.0035192,            0.086153,             0.73053,             0.71894,              0.7428,             0.47011,            0.039285,            0.050489,            0.003468,             0.10185,           0.0086137,           0.0086137,           0.0086137
                  84,            0.049571,             0.06081,           0.0033613,            0.086158,             0.71782,             0.72987,             0.74263,             0.46968,             0.03929,            0.050492,           0.0034618,             0.10181,           0.0085818,           0.0085818,           0.0085818
                  85,            0.049194,            0.061176,           0.0034293,            0.086639,             0.75102,             0.69867,             0.74297,             0.46932,            0.039281,            0.050488,           0.0034615,             0.10178,           0.0085497,           0.0085497,           0.0085497
                  86,             0.04955,             0.06144,           0.0032608,            0.086086,             0.71277,             0.73405,             0.74313,             0.47016,            0.039274,            0.050483,           0.0034538,             0.10179,           0.0085173,           0.0085173,           0.0085173
                  87,            0.049771,            0.062502,           0.0033926,             0.08578,             0.71449,             0.73331,             0.74223,              0.4696,             0.03927,             0.05048,           0.0034538,             0.10179,           0.0084846,           0.0084846,           0.0084846
                  88,            0.048976,            0.060961,            0.003263,            0.085867,             0.71141,             0.73522,             0.74326,             0.47033,            0.039258,            0.050466,           0.0034598,             0.10179,           0.0084516,           0.0084516,           0.0084516
                  89,            0.048514,            0.057785,           0.0032671,            0.086388,             0.73629,             0.71455,              0.7432,             0.47043,            0.039257,             0.05046,           0.0034581,             0.10179,           0.0084184,           0.0084184,           0.0084184
                  90,            0.049246,            0.060441,           0.0033383,            0.085961,             0.73811,             0.71494,             0.74317,             0.47001,            0.039247,            0.050454,           0.0034562,             0.10177,           0.0083849,           0.0083849,           0.0083849
                  91,            0.049534,            0.061621,           0.0034594,            0.086549,             0.73985,             0.71603,             0.74346,             0.46994,            0.039244,            0.050451,           0.0034555,             0.10175,           0.0083511,           0.0083511,           0.0083511
                  92,            0.048759,              0.0585,           0.0032327,            0.085445,             0.74421,             0.71322,             0.74307,             0.46923,            0.039243,            0.050446,           0.0034474,             0.10177,           0.0083171,           0.0083171,           0.0083171
                  93,            0.049074,            0.060829,           0.0031997,             0.08604,             0.74865,             0.70903,             0.74294,             0.46937,            0.039239,             0.05044,           0.0034418,             0.10176,           0.0082829,           0.0082829,           0.0082829
                  94,            0.049112,            0.059843,           0.0031638,            0.085224,             0.74831,             0.70953,             0.74255,             0.46891,            0.039231,            0.050432,           0.0034384,             0.10175,           0.0082483,           0.0082483,           0.0082483
                  95,            0.048723,            0.060974,           0.0033246,            0.085611,             0.75202,             0.70676,             0.74299,             0.46919,            0.039232,            0.050427,           0.0034395,             0.10176,           0.0082136,           0.0082136,           0.0082136
                  96,             0.04909,            0.060734,           0.0035826,            0.085351,             0.74785,             0.71151,             0.74357,             0.46902,            0.039228,            0.050428,           0.0034432,             0.10176,           0.0081786,           0.0081786,           0.0081786
                  97,            0.048887,            0.060984,           0.0034785,            0.085545,             0.74826,             0.71148,             0.74275,             0.46892,            0.039223,            0.050434,           0.0034424,             0.10175,           0.0081433,           0.0081433,           0.0081433
                  98,             0.04905,            0.061647,           0.0034068,            0.084816,             0.74934,             0.71129,             0.74293,             0.46849,            0.039221,            0.050434,           0.0034449,             0.10175,           0.0081078,           0.0081078,           0.0081078
                  99,            0.048542,            0.056128,           0.0032734,            0.085294,             0.74689,             0.71331,             0.74237,             0.46946,            0.039216,            0.050435,           0.0034462,             0.10174,           0.0080721,           0.0080721,           0.0080721
                 100,            0.048905,            0.059243,           0.0032547,            0.085474,             0.75139,             0.70884,             0.74205,             0.46896,            0.039218,            0.050438,            0.003448,             0.10174,           0.0080362,           0.0080362,           0.0080362
                 101,             0.04846,            0.061127,           0.0032688,            0.084742,             0.74438,              0.7155,              0.7425,             0.46932,             0.03921,            0.050431,           0.0034491,              0.1017,               0.008,               0.008,               0.008
                 102,            0.048102,            0.058746,           0.0033105,            0.085582,             0.74564,             0.71618,             0.74213,             0.46896,            0.039206,            0.050433,           0.0034474,             0.10169,           0.0079636,           0.0079636,           0.0079636
                 103,            0.048361,            0.059606,            0.003214,            0.085379,             0.74472,             0.71801,             0.74308,             0.46973,            0.039196,            0.050426,           0.0034476,             0.10168,            0.007927,            0.007927,            0.007927
                 104,            0.048425,            0.060408,           0.0031659,            0.085282,             0.74674,             0.71541,             0.74391,             0.46926,            0.039195,             0.05043,            0.003448,             0.10168,           0.0078902,           0.0078902,           0.0078902
                 105,             0.04857,            0.059021,           0.0031321,            0.084377,             0.74531,             0.71598,             0.74268,             0.46846,             0.03919,            0.050432,           0.0034501,             0.10168,           0.0078532,           0.0078532,           0.0078532
                 106,            0.048124,             0.05978,           0.0031875,            0.085501,             0.74989,             0.71202,             0.74287,             0.46877,            0.039188,            0.050428,           0.0034502,             0.10165,            0.007816,            0.007816,            0.007816
                 107,            0.048292,            0.059742,           0.0031644,            0.084945,             0.75115,              0.7113,             0.74277,             0.46902,            0.039184,            0.050424,           0.0034498,             0.10166,           0.0077785,           0.0077785,           0.0077785
                 108,            0.048068,            0.059542,           0.0031896,            0.085059,             0.75113,             0.71061,             0.74291,             0.46978,             0.03918,            0.050424,           0.0034491,             0.10166,           0.0077409,           0.0077409,           0.0077409
                 109,            0.047892,            0.059325,           0.0030898,            0.084564,             0.75361,             0.70892,             0.74332,             0.46953,            0.039178,            0.050425,           0.0034507,             0.10165,           0.0077031,           0.0077031,           0.0077031
                 110,            0.048214,            0.059921,           0.0032167,            0.084752,             0.75506,             0.70658,             0.74282,             0.46981,            0.039181,            0.050433,           0.0034515,             0.10168,           0.0076651,           0.0076651,           0.0076651
                 111,            0.048031,            0.060237,           0.0031194,            0.084735,             0.75369,             0.70721,             0.74212,             0.46998,            0.039182,            0.050435,           0.0034539,             0.10168,           0.0076269,           0.0076269,           0.0076269
                 112,            0.048001,            0.059874,           0.0032938,             0.08579,             0.75134,              0.7088,             0.74286,             0.46977,            0.039178,             0.05044,           0.0034557,             0.10167,           0.0075886,           0.0075886,           0.0075886
                 113,            0.047737,            0.061184,           0.0029825,            0.084643,             0.75372,             0.70724,             0.74306,             0.47019,            0.039174,            0.050442,           0.0034539,             0.10166,           0.0075501,           0.0075501,           0.0075501
                 114,            0.048266,              0.0609,           0.0031892,            0.084527,             0.75679,             0.70539,              0.7432,             0.47012,            0.039171,            0.050443,           0.0034515,             0.10164,           0.0075114,           0.0075114,           0.0075114
                 115,            0.048366,            0.060595,           0.0032484,            0.084216,             0.75598,             0.70506,             0.74252,             0.47052,            0.039162,            0.050443,           0.0034503,             0.10161,           0.0074725,           0.0074725,           0.0074725
                 116,            0.048122,            0.059466,           0.0032079,            0.084693,             0.75678,             0.70411,             0.74253,             0.47072,            0.039159,            0.050449,           0.0034523,             0.10159,           0.0074335,           0.0074335,           0.0074335
                 117,            0.047411,            0.056039,           0.0032193,            0.084074,             0.75389,             0.70594,             0.74234,             0.47065,             0.03915,            0.050442,           0.0034535,             0.10158,           0.0073943,           0.0073943,           0.0073943
                 118,            0.048041,            0.060366,           0.0029108,            0.084263,              0.7539,             0.70711,             0.74289,             0.47122,            0.039147,            0.050441,            0.003453,             0.10158,            0.007355,            0.007355,            0.007355
                 119,            0.047818,            0.059127,           0.0030635,            0.084396,             0.75686,             0.70467,              0.7431,              0.4715,            0.039148,            0.050438,           0.0034536,             0.10157,           0.0073155,           0.0073155,           0.0073155
                 120,            0.047355,            0.057678,           0.0030462,             0.08437,             0.75801,             0.70399,             0.74317,             0.47185,            0.039143,             0.05044,           0.0034526,             0.10158,           0.0072758,           0.0072758,           0.0072758
                 121,            0.047876,            0.061518,           0.0029755,            0.083635,             0.75752,             0.70307,              0.7428,             0.47127,            0.039143,            0.050441,           0.0034518,             0.10159,           0.0072361,           0.0072361,           0.0072361
                 122,            0.047061,            0.057695,           0.0029134,            0.083422,             0.76282,             0.69716,             0.74196,             0.47093,            0.039138,            0.050442,           0.0034522,             0.10159,           0.0071962,           0.0071962,           0.0071962
                 123,            0.047032,            0.059947,           0.0031179,             0.08461,             0.77134,             0.69137,             0.74182,             0.47113,            0.039136,             0.05044,           0.0034528,             0.10158,           0.0071561,           0.0071561,           0.0071561
                 124,            0.047361,            0.058911,           0.0030322,            0.083499,             0.76427,              0.6971,             0.74272,             0.47236,            0.039136,            0.050446,           0.0034516,             0.10156,            0.007116,            0.007116,            0.007116
                 125,            0.047909,             0.06025,           0.0030903,            0.084034,             0.76604,             0.69693,             0.74268,             0.47267,             0.03913,            0.050446,           0.0034514,             0.10157,           0.0070757,           0.0070757,           0.0070757
                 126,            0.047505,            0.058143,           0.0029314,            0.084007,             0.76406,             0.69872,             0.74241,             0.47249,             0.03913,            0.050445,           0.0034505,             0.10158,           0.0070353,           0.0070353,           0.0070353
                 127,            0.047256,            0.058875,           0.0030534,            0.083445,             0.76426,             0.69774,             0.74206,             0.47258,            0.039128,            0.050445,           0.0034493,             0.10158,           0.0069948,           0.0069948,           0.0069948
                 128,            0.047622,            0.060195,           0.0030402,            0.083518,             0.76128,             0.70019,             0.74212,             0.47281,            0.039126,            0.050446,           0.0034505,             0.10158,           0.0069541,           0.0069541,           0.0069541
                 129,             0.04675,            0.058432,           0.0029836,            0.082681,             0.75715,             0.70338,              0.7421,             0.47311,            0.039123,            0.050445,           0.0034526,             0.10158,           0.0069134,           0.0069134,           0.0069134
                 130,             0.04718,            0.057704,           0.0029426,            0.082534,             0.75844,             0.70253,             0.74215,             0.47287,             0.03912,            0.050447,           0.0034558,             0.10157,           0.0068726,           0.0068726,           0.0068726
                 131,            0.046945,            0.058635,           0.0029889,            0.083702,             0.75959,             0.70215,             0.74263,             0.47294,            0.039117,            0.050453,           0.0034578,             0.10157,           0.0068316,           0.0068316,           0.0068316
                 132,            0.046739,            0.057858,           0.0029349,            0.082845,             0.76072,             0.70161,             0.74289,              0.4736,            0.039111,            0.050454,           0.0034599,             0.10156,           0.0067906,           0.0067906,           0.0067906
                 133,            0.046966,            0.058517,           0.0028312,             0.08334,              0.7598,              0.7034,             0.74383,             0.47365,            0.039106,            0.050455,           0.0034604,             0.10155,           0.0067495,           0.0067495,           0.0067495
                 134,             0.04701,            0.057987,           0.0030841,            0.084052,             0.76022,             0.70374,             0.74421,             0.47433,            0.039101,            0.050455,           0.0034616,             0.10155,           0.0067083,           0.0067083,           0.0067083
                 135,            0.047038,            0.059879,           0.0032097,            0.083965,             0.76084,              0.7017,             0.74474,             0.47426,            0.039101,            0.050461,           0.0034638,             0.10154,           0.0066671,           0.0066671,           0.0066671
                 136,            0.046924,            0.058326,           0.0029215,            0.082794,             0.76831,             0.69579,             0.74453,             0.47426,            0.039101,            0.050464,           0.0034674,             0.10153,           0.0066257,           0.0066257,           0.0066257
                 137,            0.046409,            0.058148,           0.0029367,               0.083,             0.77022,              0.6947,             0.74457,             0.47404,              0.0391,             0.05046,           0.0034682,             0.10153,           0.0065843,           0.0065843,           0.0065843
                 138,            0.046302,            0.057971,           0.0028428,            0.083049,             0.77528,             0.69151,             0.74446,             0.47401,            0.039096,            0.050463,           0.0034678,             0.10152,           0.0065429,           0.0065429,           0.0065429
